state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
MO,Montgomery County,False,1,0,5484.0,2894.66,12126.31,0.0,58627.66
NH,Belknap County,False,1,1,12684.0,5718.61,13303.51,8310.86,87885.02
IA,Decatur County,False,1,1,8580.0,4296.61,12353.08,7011.07,57720.97
TN,Van Buren County,False,1,0,6000.0,3257.79,11730.34,0.0,53722.51
IA,Lucas County,False,2,1,10044.0,6746.98,15932.33,7259.23,71249.41
WI,Taylor County,False,1,4,11064.0,11596.88,11611.5,17268.55,67585.69
MN,Crow Wing County,False,1,4,12396.0,11231.05,11503.57,12941.02,72080.11
CO,Denver County,True,1,2,18321.486,8154.7,13875.69,20453.46,90000.27
TN,Van Buren County,False,1,2,7956.0,7034.55,15677.67,8838.11,53722.51
TX,Cooke County,False,2,4,13620.0,13573.45,11274.0,9728.65,74995.27
KY,Rockcastle County,False,1,1,7956.0,3990.8,14037.19,5800.68,52586.84
AZ,Yavapai County,True,1,0,8376.0,3444.54,12932.79,0.0,66341.18
MS,Chickasaw County,False,1,1,8208.0,4602.41,11906.15,2780.49,47624.19
CO,Prowers County,False,2,2,9276.0,9084.59,14787.58,11758.02,50958.3
NE,Hall County,True,2,2,9516.0,8275.07,14847.95,18568.93,71297.66
NE,Knox County,False,1,3,11412.0,9175.19,16202.64,18160.95,67426.53
NH,Belknap County,False,2,0,9948.0,7113.88,11409.57,0.0,87885.02
NE,Douglas County,True,1,0,8379.02268,3143.66,16939.43,0.0,86290.35
VT,Chittenden County,True,2,1,20339.274,9019.65,14156.78,13937.42,101076.65
IL,Hancock County,False,1,0,5712.0,2853.16,15429.13,0.0,67415.23
NE,Dawes County,False,1,1,8940.0,4678.87,13596.14,6578.34,73674.77
OH,Monroe County,False,2,1,8808.0,6723.31,14041.58,6911.49,57083.31
AR,Pike County,False,2,0,6888.0,5573.17,15585.84,0.0,53168.03
MO,Butler County,False,2,0,6096.0,4945.48,11608.48,0.0,48673.61
ME,Kennebec County,False,1,2,10104.0,8109.89,16173.94,10732.5,73432.44
OH,Wayne County,False,2,0,7248.0,5763.38,16988.6,0.0,72468.25
OK,Jefferson County,False,1,4,11928.0,11011.55,10202.15,16021.72,51554.88
RI,Bristol County,True,2,4,18142.8108,21188.92,11779.24,21046.87,115787.98
KY,Edmonson County,True,2,0,6751.9614,5173.73,15339.7,0.0,53278.92
NC,Duplin County,False,1,1,8388.0,4373.06,16663.89,6337.29,53993.59
WV,Harrison County,False,1,0,7332.0,2884.28,14173.2,0.0,71795.68
TX,Navarro County,False,1,3,14136.0,7650.97,13570.24,9946.74,59408.05
CO,Park County,True,2,3,21413.4012,12629.04,12185.79,21180.64,90292.92
SC,Lancaster County,True,2,2,9924.0,8634.86,9259.79,9281.75,73085.37
UT,Grand County,False,1,4,13908.0,12182.21,14278.81,18307.36,65254.8
OK,Adair County,False,2,3,11808.0,10835.35,14705.71,15973.53,44935.96
TX,Kent County,False,1,0,6960.0,3008.79,13976.51,0.0,75728.42
PA,Wyoming County,True,1,3,13159.8768,9384.39,15382.44,20140.19,72192.03
CA,Nevada County,False,1,0,10608.0,4980.06,14507.25,0.0,87976.4
VA,Franklin city,False,2,0,8437.65528,5877.51,15452.35,0.0,48552.44
FL,Columbia County,False,2,3,13572.0,10688.93,13750.42,11555.55,62543.97
KS,Wyandotte County,True,2,3,15044.8152,10981.77,10425.6,17860.66,56866.65
TX,Williamson County,True,2,3,23121.0468,11823.71,10109.55,16382.32,103549.24
ND,Oliver County,True,2,4,14892.0,14603.78,15095.38,33974.1,89633.7
NC,Wilson County,False,1,4,11976.0,9731.14,12437.76,12223.05,60298.3
OK,Latimer County,False,2,2,8736.0,9294.46,14922.1,13678.93,53576.7
MN,Norman County,False,2,3,10956.0,11787.1,13358.09,12487.4,72255.7
TX,Bailey County,False,1,1,8808.0,4602.41,15097.21,4785.0,64194.08
IN,Harrison County,True,2,3,12581.9388,9773.78,13755.65,21142.16,75322.83
OH,Portage County,True,1,0,7033.3674,3164.41,13618.85,0.0,77102.31
TX,Wichita County,True,1,1,10076.15844,4357.77,14059.45,6578.28,65570.03
IL,Fulton County,False,2,0,6828.0,5078.62,16332.54,0.0,65025.81
IA,Monona County,False,1,2,8580.0,6564.08,13810.79,10357.81,68198.7
MS,Tate County,True,1,4,11004.0,11194.47,16126.54,8486.65,62690.81
VA,Botetourt County,True,1,4,16054.4616,12328.55,14293.42,17237.06,88140.7
MD,Allegany County,True,1,2,8874.01464,6340.05,14746.94,13103.32,62822.25
NC,Avery County,False,1,2,9468.0,6743.31,13065.95,11199.11,50981.91
ID,Minidoka County,False,1,3,12600.0,8248.7,13500.22,13699.9,58761.15
WI,Calumet County,True,1,0,6894.22116,3008.79,17793.24,0.0,93110.53
VA,Rockingham County,True,2,1,11305.70292,7078.42,10179.1,9103.22,74238.5
VT,Windham County,False,1,1,11916.0,4999.96,13574.69,8319.93,74287.78
MI,Montmorency County,False,2,3,12432.0,10688.93,11474.81,15919.58,51604.17
AL,Marengo County,False,2,2,7608.0,8934.68,10383.3,12094.03,60636.13
MN,Stevens County,False,2,2,8808.0,8874.71,15638.45,11537.3,89385.21
TN,Hickman County,True,2,1,9372.0,7291.48,13690.47,7557.37,54046.99
LA,Catahoula Parish,False,2,4,12180.0,13528.65,12711.13,8550.46,61256.34
KS,Grant County,False,1,4,11196.0,9950.64,10694.67,9873.3,76556.04
MO,Howell County,False,2,4,10116.0,12050.36,14601.27,10024.07,48416.9
IN,Fulton County,False,2,2,8784.0,8574.89,14925.75,12530.24,66452.08
KY,Hickman County,False,2,4,10572.0,12139.95,10617.66,11988.72,63086.14
KS,Haskell County,False,2,2,8616.0,8245.09,13369.01,8928.99,61469.91
NC,Lenoir County,False,2,2,8964.0,7855.32,12389.23,11051.77,51762.3
CO,Routt County,False,1,0,12624.0,4399.05,12521.12,0.0,97519.73
TX,Williamson County,True,2,0,15163.8036,6143.8,13903.58,0.0,103549.24
NE,Wayne County,False,1,0,5808.0,3039.91,15239.09,0.0,76640.24
MT,Sheridan County,False,1,2,10128.0,8132.29,15551.84,15216.72,74261.09
SD,Jones County,False,2,0,6552.0,6219.89,15889.21,0.0,53908.37
KY,Lyon County,False,2,0,6288.0,5249.81,12528.51,0.0,64950.86
AR,Columbia County,False,2,2,7848.0,8724.8,13359.49,9109.23,49350.29
NC,Bertie County,False,2,0,6396.0,5497.09,16436.56,0.0,52489.29
VT,Essex County,False,2,2,8892.0,11393.21,13237.91,12165.47,53908.37
VA,Poquoson city,True,1,3,19882.566,9175.19,14384.34,19195.41,112442.59
AR,Monroe County,False,2,3,10656.0,10030.02,14291.86,10310.36,51970.75
WV,Raleigh County,True,2,1,8376.0,6510.25,12910.53,7855.82,57283.54
MT,Lincoln County,False,1,3,13068.0,9533.83,14300.38,17563.52,51845.47
SD,Davison County,False,2,1,9264.0,7575.56,14794.95,5635.01,72234.13
VA,Warren County,True,1,3,16512.0,9175.19,12863.12,17874.87,86134.27
LA,Acadia Parish,True,1,2,8700.0,6810.52,16699.93,9059.86,58169.7
AK,Denali Borough,False,2,4,21684.0,13778.35,12000.1,24247.99,107174.97
ND,Golden Valley County,False,2,3,11772.0,13141.52,17603.65,13709.0,75292.02
MD,Baltimore city,True,1,2,13586.9256,7863.46,14076.65,15174.83,64801.96
AZ,Gila County,False,2,1,11508.0,7267.8,13902.41,6439.07,52807.61
TX,Karnes County,False,2,4,12036.0,12767.11,9390.92,9556.61,74725.21
NY,Herkimer County,True,2,1,8604.66504,6746.98,12345.2,9475.13,71906.58
AR,Sharp County,False,2,1,7848.0,6746.98,14969.63,4804.77,45333.34
IN,Monroe County,True,2,4,15288.0,13573.45,12491.95,23642.06,79141.59
UT,Beaver County,False,1,1,8808.0,4770.61,11974.05,6866.23,68837.39
MO,Caldwell County,True,2,2,8038.50516,9144.55,13833.04,12218.26,61110.52
CA,Sonoma County,True,2,1,23952.0,9469.45,13361.46,10518.32,99810.57
ID,Twin Falls County,True,2,4,14460.0,13797.44,15003.48,16144.08,64150.96
NE,Hitchcock County,False,1,1,8808.0,4556.54,15762.36,6592.89,67225.27
FL,Hendry County,False,2,0,7728.0,5820.45,14053.89,0.0,46288.29
FL,Polk County,True,2,0,9588.0,6067.72,13193.02,0.0,60077.54
TX,Pecos County,False,2,2,10776.0,8784.77,14687.65,9219.13,62824.3
TX,Jasper County,False,2,2,9876.0,8424.98,14644.76,8534.2,60614.57
TX,Waller County,True,2,3,15754.5048,11823.71,13091.95,13487.24,75866.02
IA,Adair County,False,1,3,12276.0,9324.62,12179.88,11547.58,75375.2
LA,Natchitoches Parish,False,2,3,13176.0,11238.02,15160.0,8966.88,49921.2
IL,Knox County,False,2,3,11196.0,9993.42,13937.78,13279.97,65005.28
TX,Dimmit County,False,1,1,9492.0,3715.57,12489.39,4874.92,32214.61
AL,Monroe County,False,2,4,9468.0,13394.26,11551.42,13688.38,50684.13
IN,Clay County,True,1,1,8768.04276,3837.89,13323.19,9548.74,68246.97
WA,Grays Harbor County,False,1,2,9840.0,7729.04,15022.3,12620.96,67163.66
FL,Pinellas County,True,1,0,11831.17968,3631.29,14134.16,0.0,74353.5
NY,Wayne County,True,1,3,12930.3036,8816.55,13488.92,28905.77,73069.97
OK,Craig County,False,2,1,8964.0,7149.44,13684.32,6051.21,50739.58
NY,Wayne County,True,1,1,10397.9898,4510.67,16061.82,10005.84,73069.97
PA,Lancaster County,True,1,1,12216.0,5198.74,14357.95,9992.77,80750.62
WA,Asotin County,True,1,3,15467.5608,9085.53,15289.83,17395.88,69590.05
VA,Louisa County,False,2,0,9588.0,6143.8,14978.92,0.0,74897.72
NY,Fulton County,False,2,1,10248.0,6770.66,12764.15,8452.4,62792.46
KS,Logan County,False,1,3,12228.0,9294.73,12094.55,10028.34,63572.86
NY,Madison County,True,1,2,9950.74872,6429.66,10807.92,24285.95,81244.53
KY,Mercer County,False,2,4,11508.0,12095.15,12274.01,12474.48,69332.32
GA,Appling County,False,2,1,7776.0,6818.01,16854.78,5137.45,51470.68
TN,Pickett County,False,2,1,7956.0,7220.46,13269.99,5349.43,47319.23
AL,Tuscaloosa County,True,1,4,12922.9236,12694.38,14474.92,16583.73,70579.91
TX,Potter County,True,1,3,13979.3052,8637.23,13232.66,12532.07,54113.73
IN,Boone County,True,2,4,16246.5588,13304.67,14705.09,24248.37,105166.5
MN,Mille Lacs County,True,2,3,16080.0,11494.26,16702.11,22982.18,66148.13
MN,Nicollet County,True,2,0,8422.86036,7228.0,14015.82,0.0,86135.3
IL,Kankakee County,True,1,4,15264.0,10609.14,15117.29,19086.78,75231.44
FL,St. Lucie County,True,1,2,14794.7544,7124.16,14011.72,12661.76,63395.21
IN,LaPorte County,True,1,0,6060.0,2905.04,14853.14,0.0,69115.66
GA,Appling County,False,1,4,11124.0,10535.97,14635.95,9106.51,51470.68
SD,Grant County,False,2,0,6696.0,6124.78,14506.1,0.0,75611.36
SD,Potter County,False,1,4,11352.0,11596.88,12913.09,13097.13,68638.19
MN,Brown County,False,1,4,11112.0,10096.97,15499.99,12497.59,80638.7
WA,Ferry County,False,1,1,9324.0,4831.77,12640.94,6989.62,58375.06
OR,Umatilla County,False,1,1,10152.0,4877.64,12042.67,6636.82,66698.52
OK,Comanche County,True,2,3,12984.0,10615.72,13278.33,16913.73,66056.75
MT,Mineral County,False,2,2,8808.0,9624.27,12354.15,14747.83,52701.85
NY,Tioga County,True,2,4,13029.9036,14962.15,11905.23,28964.28,79990.77
GA,Clarke County,True,2,1,9871.63404,7409.85,16430.66,6668.57,56667.45
GA,Quitman County,False,1,0,6084.0,3205.91,14404.5,0.0,41843.16
ID,Latah County,False,2,4,13476.0,14379.8,14722.11,14213.46,72920.05
IL,Richland County,False,1,1,8400.0,4357.77,14755.54,6884.33,67312.55
GA,Stephens County,False,2,3,11124.0,10322.87,12389.51,9232.63,61492.5
